Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Deflection,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2025-11-18 Rutgers vs American,1413.382,8.0,American Shots,21,,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Close Shot Right,Layup,,,,,,,,
2025-11-18 Rutgers vs American,1548.304,8.0,American Shots,22,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,22+,,Wide Open,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,1800.754,8.0,American Shots,23,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,21-11,,Lightly Contested,Left Wing 3,Step Back,,,,,,,,
2025-11-18 Rutgers vs American,1820.675,8.0,American Shots,24,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,22+,,Wide Open,Close Shot Middle,Floater,,,,,,,,
2025-11-18 Rutgers vs American,1849.459,8.0,American Shots,25,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Lightly Contested,Close Shot Middle,Fadeaway,,,,,,,,
2025-11-18 Rutgers vs American,1954.398,8.0,American Shots,26,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#12 Geoff Sprouse,,,,10-6,,Lightly Contested,Top of Key 3,Pullup,,,,,,,,
2025-11-18 Rutgers vs American,1973.814,8.0,American Shots,27,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#4 Kade Sebastian,,,,5-0,,Wide Open,Right Corner 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,2023.664,8.0,American Shots,28,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,5-0,,Highly Contested,Close Shot Left,Hook,,,,,,,,
2025-11-18 Rutgers vs American,2103.053,8.0,American Shots,29,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#35 Chris Eagan,,,,10-6,,Wide Open,Rim,Floater,,,,,,,,
2025-11-18 Rutgers vs American,2334.176,8.0,American Shots,30,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#32 Julen Iturbe,,,,10-6,,Lightly Contested,Close Shot Left,Fadeaway,,,,,,,,
2025-11-18 Rutgers vs American,2442.931,8.0,American Shots,31,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2025-11-18 Rutgers vs American,2495.742,8.0,American Shots,32,,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
