Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-28 Loyola (MD) vs American,5122.179,8.0,American Shots,50,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,5183.283,8.0,American Shots,51,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Wide Open,Right Wing 3,Pullup,,,,,,,,
2026-01-28 Loyola (MD) vs American,5251.01,8.0,American Shots,52,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Left Corner 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,5482.122,8.0,American Shots,53,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,5569.276,8.0,American Shots,54,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,5611.536,8.0,American Shots,55,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#3 Dean Hogans,,,,21-11,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,5681.464,8.0,American Shots,56,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,5729.232,8.0,American Shots,57,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,22+,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-28 Loyola (MD) vs American,5925.093,8.0,American Shots,58,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,5989.997,8.0,American Shots,59,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#23 Greg Jones,,,,22+,,Highly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,6065.851,8.0,American Shots,60,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 3,,,,,,,#12 Geoff Sprouse,,,,22+,,Highly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-28 Loyola (MD) vs American,6248.607,8.0,American Shots,61,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,22+,,Blocked,Rim,Layup,,,,,,,,
