Timeline,Start time,Duration,Row,Instance number,Assist,Ball Handler,Block,Contested,Cutter,Cutter Defender,Dribble Move,Drive Direction,Foul,Foul Class,Foul Drawn,Half Court Defense Type,Handler Defender,Handler Defense,Handoff Defender,Handoff Screener,Inbound Type,Opponent Team,Pass,Period,Play Characteristics,Play Type,Rebound,Receiver,Receiver Defender,Result,Screen User,Screen User Defender,Screener,Screener Action,Screener Defender,Screener Defense,Shooter,Shooting Hand,Shot,Shot Characteristics,Shot Clock,Shot Clock Seconds,Shot Contest,Shot Location,Shot Type,Spot Up,Steal,Stolen From,Team,Turnover,Ungrouped,Notes,Flags
2026-01-10 American vs Holy Cross,1760.03,8.0,American Shots,21,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#12 Geoff Sprouse,,,,5-0,,Wide Open,Close Shot Left,Floater,,,,,,,,
2026-01-10 American vs Holy Cross,1799.969,8.0,American Shots,22,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,1844.175,8.0,American Shots,23,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,2082.969,8.0,American Shots,24,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#33 Matt Mayock,,,,10-6,,Lightly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,2166.632,8.0,American Shots,25,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#32 Julen Iturbe,,,,21-11,,Wide Open,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,2211.362,8.0,American Shots,26,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Close Shot Left,Fadeaway,,,,,,,,
2026-01-10 American vs Holy Cross,2278.938,8.0,American Shots,27,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#32 Julen Iturbe,,,,21-11,,Lightly Contested,Left Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,2534.913,8.0,American Shots,28,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#4 Kade Sebastian,,,,22+,,Lightly Contested,Left Wing 3,Pullup,,,,,,,,
2026-01-10 American vs Holy Cross,2582.494,8.0,American Shots,29,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#2 Madden Collins,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,2623.714,8.0,American Shots,30,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#2 Madden Collins,,,,10-6,,Lightly Contested,Right Wing 3,Catch & Shoot,,,,,,,,
2026-01-10 American vs Holy Cross,2827.173,8.0,American Shots,31,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,5-0,,Blocked,Rim,Other,,,,,,,,
2026-01-10 American vs Holy Cross,2913.438,8.0,American Shots,32,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#33 Matt Mayock,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,2995.614,8.0,American Shots,33,,,,,,,,,Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#7 Wyatt Nausadis,,,,22+,,Blocked,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,3147.852,8.0,American Shots,34,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Made 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Hook,,,,,,,,
2026-01-10 American vs Holy Cross,3184.594,8.0,American Shots,35,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 2,,,,,,,#23 Greg Jones,,,,21-11,,Highly Contested,Rim,Layup,,,,,,,,
2026-01-10 American vs Holy Cross,3279.33,8.0,American Shots,36,,,,,,,,,No Foul,,,,,,,,,,,,,,,,,Miss 3,,,,,,,#33 Matt Mayock,,,,22+,,Wide Open,Right Wing 3,Pullup,,,,,,,,
